sales_channel,route,LengthOfStay,WantsExtraBaggage,PrefSeat,WantsMeals
Internet,OOLWUH,29.67,0.33,0.00,0.00
Internet,KNOKTM,21.50,0.50,0.50,0.00
Internet,BBIOOL,21.00,1.00,0.50,0.00
Internet,DELKCH,18.20,0.20,0.00,0.00
Internet,BTJJED,17.00,1.00,0.00,1.00
Internet,KTMMYY,16.25,0.33,0.00,0.00
Internet,BWNMEL,15.10,0.10,0.03,0.06
Internet,CTSMEL,12.52,0.07,0.00,0.05
Internet,KOSOOL,12.20,0.00,0.00,0.20
Internet,BOMOOL,12.00,0.25,0.25,0.25
Internet,AORKTM,11.51,0.16,0.01,0.05
Internet,KTMTGG,10.74,0.15,0.00,0.09
Internet,MELSWA,10.50,0.25,0.25,0.25
Internet,KWLPER,10.50,0.33,0.17,0.25
Internet,SYDVTZ,10.29,0.14,0.14,0.14
Internet,MFMOOL,10.20,0.11,0.07,0.07
Internet,KHHOOL,10.00,0.00,0.00,0.00
Internet,MRUSGN,10.00,0.50,0.50,0.50
Internet,JHBKTM,9.35,0.16,0.01,0.03
Internet,PUSSUB,9.18,0.13,0.06,0.06
Internet,BDOOOL,9.06,0.12,0.04,0.06
Internet,KTMPEN,8.97,0.14,0.01,0.04
Internet,IKASGN,8.86,0.14,0.14,0.00
Internet,CKGPNH,8.66,0.09,0.03,0.09
Internet,IKAKIX,8.40,0.20,0.00,0.07
Internet,MLESYD,8.16,0.16,0.12,0.16
Internet,LOPXIY,8.11,0.11,0.00,0.11
Internet,DACHGH,7.82,0.09,0.00,0.06
Internet,AKLKIX,7.76,0.05,0.01,0.03
Internet,CRKOOL,7.74,0.13,0.03,0.06
Internet,MAAWUH,7.56,0.11,0.04,0.15
Internet,TPEVTE,7.50,0.08,0.00,0.08
Internet,CTUOOL,7.38,0.12,0.02,0.09
Internet,IKALOP,7.25,0.13,0.13,0.00
Internet,HYDOOL,6.98,0.11,0.06,0.08
Internet,DACOOL,6.77,0.12,0.03,0.09
Internet,JEDMEL,6.67,0.08,0.00,0.04
Internet,CEBOOL,6.54,0.11,0.03,0.07
Internet,KTMPER,6.50,0.13,0.03,0.08
Internet,DELSZX,6.35,0.04,0.00,0.04
Internet,BWNKTM,6.29,0.12,0.02,0.05
Internet,PUSSGN,6.24,0.12,0.00,0.10
Internet,SYDTWU,6.22,0.17,0.11,0.14
Internet,MELWUH,6.17,0.00,0.00,0.00
Internet,TRZWUH,6.16,0.10,0.04,0.10
Internet,CCUPER,6.10,0.10,0.05,0.07
Internet,BWNDEL,6.08,0.12,0.00,0.08
Internet,KBRKTM,6.00,0.12,0.00,0.08
Internet,OOLRGN,5.98,0.11,0.06,0.10
Internet,AKLMRU,5.85,0.13,0.10,0.13
Internet,MELMNL,5.84,0.09,0.04,0.06
Internet,CKGMEL,5.82,0.13,0.00,0.03
Internet,MAASYD,5.77,0.09,0.06,0.08
Internet,MYYOOL,5.75,0.14,0.12,0.07
Internet,CRKSYD,5.70,0.09,0.01,0.04
Internet,AKLHGH,5.67,0.00,0.00,0.00
Internet,BOMSYD,5.62,0.07,0.03,0.05
Internet,CKGTGG,5.60,0.20,0.00,0.00
Internet,BDOPUS,5.58,0.11,0.03,0.03
Internet,BTUSYD,5.58,0.10,0.06,0.10
Internet,CKGOOL,5.47,0.10,0.03,0.10
Internet,CTUMYY,5.47,0.21,0.05,0.11
Internet,CRKMEL,5.46,0.08,0.02,0.05
Internet,KBROOL,5.43,0.11,0.03,0.06
Internet,MRUOOL,5.37,0.11,0.08,0.09
Internet,IKAPUS,5.36,0.09,0.05,0.09
Internet,BBISYD,5.36,0.09,0.06,0.11
Internet,COKWUH,5.27,0.13,0.07,0.13
Internet,KBRSYD,5.25,0.14,0.03,0.08
Internet,CSXPER,5.25,0.17,0.17,0.17
Internet,KIXSUB,5.24,0.10,0.05,0.08
Internet,OOLPNH,5.20,0.10,0.06,0.06
Internet,ICNTRZ,5.07,0.12,0.06,0.08
Internet,PERTRZ,5.07,0.10,0.05,0.08
Internet,MELTWU,5.06,0.08,0.05,0.07
Internet,MAAPER,5.05,0.09,0.04,0.06
Internet,BLRMEL,5.02,0.09,0.05,0.07
Internet,KIXKTM,5.00,0.05,0.00,0.00
Internet,DELKIX,5.00,0.08,0.02,0.02
Internet,BBIPER,5.00,0.11,0.11,0.11
Internet,DELKBR,5.00,0.00,0.00,0.00
Internet,SYDTRZ,4.99,0.09,0.04,0.08
Internet,HGHMAA,4.99,0.08,0.01,0.06
Internet,DELMYY,4.96,0.13,0.00,0.00
Internet,MNLPER,4.93,0.09,0.05,0.06
Internet,OOLURT,4.92,0.16,0.10,0.16
Internet,KNOSYD,4.92,0.10,0.04,0.06
Internet,PEKTRZ,4.92,0.08,0.01,0.05
Internet,ICNKTM,4.90,0.09,0.02,0.05
Internet,KCHMRU,4.89,0.06,0.00,0.00
Internet,MELXIY,4.86,0.07,0.00,0.08
Internet,COKMEL,4.83,0.09,0.05,0.09
Internet,MELTRZ,4.82,0.09,0.05,0.07
Internet,MNLOOL,4.81,0.07,0.05,0.05
Internet,COKPUS,4.81,0.10,0.03,0.09
Internet,CCUMEL,4.79,0.10,0.04,0.08
Internet,HYDMEL,4.79,0.09,0.04,0.08
Internet,HGHPER,4.78,0.08,0.01,0.03
Internet,IKAMEL,4.74,0.09,0.04,0.07
Internet,MELURT,4.72,0.07,0.01,0.04
Internet,CANMEL,4.72,0.07,0.03,0.06
Internet,OOLPUS,4.69,0.09,0.05,0.07
Internet,PVGSUB,4.68,0.09,0.03,0.04
Internet,DACSYD,4.68,0.10,0.03,0.09
Internet,MELVTZ,4.67,0.11,0.06,0.09
Internet,KLOMEL,4.67,0.09,0.04,0.07
Internet,MELMRU,4.65,0.11,0.08,0.08
Internet,DELSYD,4.61,0.08,0.04,0.07
Internet,BLRSYD,4.60,0.08,0.04,0.06
Internet,IKASYD,4.58,0.10,0.05,0.08
Internet,DELMEL,4.57,0.08,0.03,0.06
Internet,OOLTRZ,4.55,0.08,0.04,0.09
Internet,CANSYD,4.54,0.10,0.04,0.07
Internet,ICNIKA,4.53,0.12,0.05,0.11
Internet,CMBCTS,4.50,0.00,0.00,0.00
Internet,HYDPER,4.50,0.08,0.03,0.05
Internet,ICNJED,4.50,0.00,0.00,0.00
Internet,BDOCTS,4.48,0.07,0.04,0.07
Internet,DELPNH,4.47,0.04,0.02,0.05
Internet,BWNHGH,4.45,0.10,0.00,0.03
Internet,PERVTZ,4.43,0.09,0.04,0.06
Internet,MAAMEL,4.41,0.08,0.05,0.07
Internet,GOIOOL,4.39,0.08,0.02,0.07
Internet,DACMEL,4.39,0.09,0.02,0.07
Internet,KTMSYD,4.38,0.10,0.04,0.08
Internet,CNXMEL,4.34,0.06,0.04,0.05
Internet,PUSTRZ,4.34,0.09,0.06,0.08
Internet,KHHMEL,4.34,0.10,0.04,0.08
Internet,CKGMAA,4.33,0.13,0.00,0.10
Internet,COKKIX,4.32,0.08,0.02,0.04
Internet,GOIPER,4.32,0.09,0.04,0.06
Internet,MELMYY,4.31,0.10,0.06,0.05
Internet,KCHXIY,4.30,0.14,0.03,0.07
Internet,CTUPER,4.30,0.07,0.02,0.05
Internet,DELSBW,4.25,0.25,0.25,0.00
Internet,PERSDK,4.25,0.11,0.11,0.08
Internet,HGHOOL,4.24,0.10,0.05,0.06
Internet,DPSIKA,4.22,0.11,0.06,0.11
Internet,CKGTRZ,4.19,0.07,0.00,0.06
Internet,HYDSYD,4.14,0.09,0.06,0.07
Internet,KOSSYD,4.14,0.14,0.00,0.00
Internet,CEBMEL,4.13,0.09,0.04,0.06
Internet,AKLKTM,4.11,0.13,0.00,0.02
Internet,CNXOOL,4.10,0.08,0.05,0.05
Internet,IKAOOL,4.10,0.10,0.05,0.08
Internet,BOMMEL,4.09,0.08,0.01,0.05
Internet,COKSYD,4.08,0.09,0.05,0.08
Internet,KIXMYY,4.08,0.11,0.05,0.07
Internet,MELRGN,4.05,0.09,0.04,0.06
Internet,OOLXIY,4.05,0.11,0.05,0.02
Internet,OOLSBW,4.05,0.08,0.06,0.04
Internet,KCHMEL,4.04,0.10,0.05,0.06
Internet,PNHSYD,4.02,0.08,0.04,0.04
Internet,GOIMEL,4.01,0.11,0.06,0.07
Internet,OOLVTE,4.01,0.13,0.07,0.06
Internet,CTUKCH,3.99,0.14,0.06,0.06
Internet,SGNSYD,3.95,0.10,0.04,0.05
Internet,CTUMEL,3.94,0.08,0.02,0.04
Internet,OOLPEK,3.93,0.06,0.02,0.03
Internet,LBUPER,3.93,0.09,0.04,0.08
Internet,ICNOOL,3.92,0.08,0.04,0.06
Internet,TRZXIY,3.92,0.07,0.00,0.05
Internet,GOISYD,3.92,0.11,0.08,0.05
Internet,KIXTRZ,3.91,0.07,0.02,0.05
Internet,DADOOL,3.91,0.10,0.06,0.06
Internet,JHBSYD,3.89,0.08,0.05,0.08
Internet,MAAOOL,3.88,0.08,0.04,0.08
Internet,HGHMEL,3.87,0.09,0.01,0.06
Internet,BLRPER,3.85,0.07,0.02,0.05
Internet,DELOOL,3.85,0.06,0.02,0.06
Internet,CTUSYD,3.84,0.08,0.02,0.05
Internet,CCUSYD,3.84,0.08,0.05,0.07
Internet,CMBMEL,3.79,0.09,0.04,0.08
Internet,KTMMEL,3.78,0.12,0.04,0.09
Internet,KCHOOL,3.78,0.10,0.05,0.05
Internet,COKOOL,3.76,0.08,0.03,0.07
Internet,HANMEL,3.76,0.09,0.03,0.05
Internet,MELPUS,3.75,0.08,0.02,0.06
Internet,PUSRGN,3.75,0.06,0.01,0.07
Internet,PUSSYD,3.75,0.08,0.04,0.06
Internet,TGGXIY,3.74,0.07,0.00,0.04
Internet,HKGMEL,3.68,0.07,0.02,0.05
Internet,SBWXIY,3.67,0.08,0.00,0.00
Internet,ICNRGN,3.66,0.07,0.02,0.05
Internet,AKLICN,3.64,0.10,0.03,0.07
Internet,IKAPER,3.63,0.08,0.03,0.06
Internet,BDOMEL,3.63,0.09,0.04,0.07
Internet,MELSBW,3.61,0.09,0.05,0.05
Internet,OOLTPE,3.60,0.07,0.02,0.05
Internet,MYYSYD,3.60,0.09,0.06,0.05
Internet,AKLKUL,3.59,0.07,0.02,0.05
Internet,MELPNH,3.59,0.08,0.03,0.04
Internet,PERPVG,3.59,0.07,0.02,0.05
Internet,OOLSGN,3.58,0.08,0.04,0.05
Internet,JOGOOL,3.57,0.14,0.09,0.14
Internet,SUBSYD,3.56,0.10,0.02,0.04
Internet,JHBMEL,3.54,0.09,0.04,0.06
Internet,DMKOOL,3.53,0.07,0.04,0.05
Internet,HDYOOL,3.53,0.08,0.00,0.03
Internet,KTMMFM,3.51,0.11,0.01,0.04
Internet,MELPEN,3.50,0.08,0.05,0.07
Internet,BTUWUH,3.50,0.13,0.00,0.00
Internet,HANSYD,3.50,0.07,0.03,0.03
Internet,RGNSYD,3.49,0.08,0.03,0.07
Internet,CCUOOL,3.48,0.07,0.02,0.04
Internet,CTUSBW,3.48,0.10,0.02,0.02
Internet,HYDWUH,3.47,0.12,0.06,0.06
Internet,CNXPER,3.47,0.09,0.08,0.06
Internet,DELSUB,3.47,0.12,0.05,0.08
Internet,HANOOL,3.47,0.08,0.03,0.04
Internet,BDOSYD,3.46,0.09,0.04,0.07
Internet,PEKPER,3.44,0.06,0.02,0.06
Internet,CMBPER,3.44,0.07,0.04,0.06
Internet,MELSGN,3.43,0.09,0.03,0.05
Internet,COKPER,3.40,0.10,0.04,0.07
Internet,BDOKIX,3.39,0.07,0.03,0.06
Internet,PERPUS,3.38,0.09,0.03,0.05
Internet,HDYKTM,3.38,0.13,0.00,0.00
Internet,DELPER,3.38,0.08,0.03,0.06
Internet,CANOOL,3.34,0.10,0.02,0.09
Internet,HKGSYD,3.34,0.06,0.03,0.05
Internet,BWNPER,3.33,0.08,0.04,0.05
Internet,MAAMRU,3.33,0.07,0.01,0.06
Internet,COKICN,3.31,0.08,0.00,0.04
Internet,CKGSBW,3.31,0.11,0.03,0.03
Internet,CTUTRZ,3.30,0.09,0.00,0.01
Internet,CMBPEK,3.30,0.07,0.02,0.04
Internet,PERVTE,3.30,0.00,0.10,0.10
Internet,AKLDEL,3.28,0.06,0.02,0.06
Internet,MELMFM,3.27,0.08,0.08,0.07
Internet,HDYHGH,3.27,0.00,0.00,0.00
Internet,KCHSYD,3.27,0.09,0.06,0.05
Internet,CTUSUB,3.24,0.09,0.06,0.03
Internet,BDOIKA,3.24,0.09,0.06,0.13
Internet,BWNCKG,3.22,0.17,0.01,0.01
Internet,MELPVG,3.22,0.07,0.03,0.04
Internet,MRUSYD,3.21,0.09,0.07,0.07
Internet,COKHGH,3.19,0.06,0.01,0.04
Internet,COKCTU,3.19,0.06,0.01,0.01
Internet,CNXPEK,3.18,0.06,0.01,0.04
Internet,BDOXIY,3.18,0.04,0.04,0.00
Internet,IKAPEN,3.17,0.04,0.04,0.02
Internet,ICNMEL,3.17,0.08,0.03,0.05
Internet,ICNSDK,3.17,0.13,0.10,0.13
Internet,HNDJOG,3.17,0.07,0.04,0.07
Internet,CGKPUS,3.16,0.07,0.03,0.06
Internet,CTUKNO,3.15,0.08,0.00,0.04
Internet,MELREP,3.15,0.09,0.05,0.06
Internet,BOMPER,3.14,0.10,0.06,0.08
Internet,CNXKIX,3.13,0.07,0.03,0.02
Internet,HGHTRZ,3.13,0.09,0.02,0.07
Internet,DELMNL,3.13,0.06,0.03,0.04
Internet,CMBOOL,3.13,0.08,0.03,0.07
Internet,MYYXIY,3.13,0.17,0.04,0.13
Internet,KIXMEL,3.11,0.07,0.04,0.04
Internet,DPSOOL,3.11,0.08,0.03,0.05
Internet,CMBSYD,3.10,0.08,0.05,0.08
Internet,CGKIKA,3.09,0.08,0.02,0.05
Internet,PVGSYD,3.09,0.07,0.02,0.05
Internet,CKGPER,3.09,0.05,0.01,0.03
Internet,CGKHGH,3.08,0.07,0.01,0.02
Internet,BKIOOL,3.08,0.08,0.05,0.06
Internet,KBVSYD,3.07,0.09,0.07,0.08
Internet,KNOMEL,3.07,0.07,0.04,0.05
Internet,LGKOOL,3.06,0.12,0.07,0.06
Internet,HDYMEL,3.05,0.08,0.02,0.04
Internet,JEDSUB,3.05,0.11,0.00,0.12
Internet,CGKDEL,3.05,0.06,0.02,0.04
Internet,ICNMAA,3.05,0.09,0.05,0.09
Internet,CKGSUB,3.05,0.11,0.05,0.05
Internet,TPETRZ,3.04,0.08,0.02,0.07
Internet,DPSMRU,3.04,0.07,0.06,0.05
Internet,CKGPEN,3.02,0.11,0.05,0.02
Internet,PERTPE,3.02,0.08,0.02,0.04
Internet,CKGSYD,3.02,0.09,0.02,0.05
Internet,KNOOOL,3.01,0.08,0.05,0.06
Internet,CGKMEL,3.01,0.07,0.04,0.05
Internet,ICNPER,3.01,0.08,0.02,0.05
Internet,DADMEL,3.00,0.10,0.05,0.04
Internet,KNOPER,2.99,0.09,0.04,0.07
Internet,KIXMAA,2.99,0.08,0.04,0.06
Internet,ICNSYD,2.98,0.08,0.04,0.05
Internet,DELHND,2.98,0.05,0.01,0.04
Internet,KNOTPE,2.97,0.08,0.02,0.04
Internet,HNDKNO,2.97,0.09,0.06,0.05
Internet,CKGCOK,2.95,0.05,0.00,0.02
Internet,KBRPEK,2.94,0.07,0.01,0.04
Internet,PENSYD,2.94,0.08,0.04,0.07
Internet,PEKSYD,2.93,0.07,0.02,0.05
Internet,OOLPEN,2.92,0.09,0.05,0.07
Internet,HNDSUB,2.91,0.08,0.03,0.05
Internet,PERRGN,2.91,0.08,0.04,0.05
Internet,CEBSYD,2.90,0.06,0.03,0.02
Internet,BKISYD,2.90,0.07,0.05,0.06
Internet,CMBMRU,2.88,0.12,0.04,0.08
Internet,KIXPNH,2.86,0.07,0.03,0.02
Internet,MELVTE,2.85,0.08,0.00,0.00
Internet,CTSSUB,2.85,0.12,0.09,0.10
Internet,MELPEK,2.85,0.07,0.02,0.06
Internet,KCHPER,2.85,0.08,0.05,0.04
Internet,SYDTPE,2.85,0.08,0.03,0.05
Internet,SUBXIY,2.84,0.09,0.00,0.03
Internet,CTUMAA,2.83,0.09,0.00,0.00
Internet,DACPER,2.83,0.09,0.01,0.06
Internet,KLOOOL,2.83,0.11,0.04,0.06
Internet,DELJHB,2.83,0.11,0.09,0.03
Internet,CANPER,2.82,0.07,0.03,0.04
Internet,DMKSYD,2.82,0.06,0.03,0.05
Internet,SYDXIY,2.82,0.05,0.00,0.05
Internet,SDKSYD,2.81,0.13,0.13,0.13
Internet,BKIMEL,2.81,0.08,0.04,0.05
Internet,HGHMYY,2.80,0.07,0.02,0.00
Internet,MELTPE,2.79,0.08,0.03,0.06
Internet,DADSYD,2.79,0.07,0.02,0.04
Internet,OOLSZX,2.78,0.09,0.05,0.08
Internet,OOLPVG,2.76,0.08,0.04,0.07
Internet,DMKMEL,2.73,0.06,0.03,0.05
Internet,CGKOOL,2.73,0.09,0.05,0.05
Internet,BDOPVG,2.73,0.12,0.02,0.02
Internet,IKAMNL,2.73,0.08,0.02,0.05
Internet,KTMTPE,2.73,0.09,0.01,0.02
Internet,KHHPER,2.72,0.07,0.06,0.06
Internet,SRGTPE,2.72,0.09,0.02,0.03
Internet,KCHPEK,2.71,0.09,0.03,0.03
Internet,CTSSYD,2.71,0.07,0.04,0.04
Internet,NRTSYD,2.70,0.10,0.00,0.00
Internet,CEBPER,2.69,0.04,0.02,0.04
Internet,MAATPE,2.69,0.07,0.03,0.05
Internet,HDYPER,2.69,0.08,0.05,0.05
Internet,DACKIX,2.68,0.11,0.05,0.08
Internet,CTUREP,2.67,0.33,0.00,0.17
Internet,SUBTPE,2.67,0.08,0.01,0.05
Internet,AKLTPE,2.67,0.07,0.01,0.03
Internet,PERPNH,2.67,0.07,0.04,0.04
Internet,ICNVTZ,2.66,0.07,0.06,0.06
Internet,JHBPUS,2.66,0.08,0.03,0.05
Internet,CGKCTU,2.65,0.09,0.04,0.05
Internet,KBVMEL,2.65,0.08,0.03,0.04
Internet,PERXIY,2.64,0.08,0.02,0.02
Internet,MNLSYD,2.64,0.07,0.03,0.04
Internet,DPSMEL,2.62,0.07,0.03,0.05
Internet,JOGPER,2.62,0.15,0.08,0.08
Internet,BDOHGH,2.61,0.10,0.00,0.09
Internet,CGKCKG,2.59,0.06,0.06,0.09
Internet,PERUTP,2.59,0.03,0.04,0.02
Internet,TWUXIY,2.59,0.07,0.03,0.03
Internet,KOSMEL,2.57,0.00,0.00,0.14
Internet,PEKSBW,2.57,0.09,0.03,0.04
Internet,PEKSUB,2.57,0.07,0.02,0.03
Internet,DELDMK,2.56,0.04,0.01,0.01
Internet,MYYPER,2.56,0.10,0.03,0.04
Internet,KCHKTM,2.55,0.10,0.00,0.00
Internet,CTSPER,2.54,0.06,0.02,0.05
Internet,HGHJOG,2.54,0.14,0.03,0.08
Internet,DMKPER,2.53,0.06,0.04,0.03
Internet,JHBXIY,2.53,0.12,0.04,0.08
Internet,BTUPER,2.53,0.07,0.04,0.04
Internet,IKASUB,2.52,0.09,0.06,0.12
Internet,HDYSYD,2.52,0.08,0.02,0.04
Internet,PERSGN,2.51,0.08,0.03,0.04
Internet,CKGMYY,2.50,0.07,0.07,0.00
Internet,JEDMNL,2.50,0.07,0.03,0.03
Internet,DELRGN,2.50,0.00,0.50,0.00
Internet,RGNTPE,2.49,0.03,0.02,0.03
Internet,KBRMEL,2.48,0.06,0.04,0.06
Internet,ICNKCH,2.48,0.08,0.03,0.04
Internet,MRUPER,2.47,0.09,0.01,0.05
Internet,HKTOOL,2.47,0.08,0.05,0.05
Internet,PENWUH,2.46,0.10,0.03,0.05
Internet,LOPOOL,2.46,0.10,0.00,0.08
Internet,PERTWU,2.45,0.08,0.07,0.04
Internet,MFMPER,2.44,0.06,0.02,0.04
Internet,HNDMEL,2.43,0.08,0.03,0.05
Internet,HKGPER,2.41,0.06,0.03,0.04
Internet,AKLPVG,2.40,0.10,0.00,0.03
Internet,KTMURT,2.40,0.10,0.00,0.00
Internet,BTUICN,2.39,0.10,0.04,0.07
Internet,CGKKIX,2.39,0.07,0.03,0.05
Internet,KTMREP,2.38,0.07,0.03,0.05
Internet,HANKTM,2.38,0.03,0.00,0.03
Internet,MELSUB,2.35,0.07,0.04,0.07
Internet,HKTMEL,2.35,0.08,0.04,0.05
Internet,KIXPER,2.35,0.07,0.03,0.04
Internet,HGHSYD,2.33,0.05,0.02,0.03
Internet,CGKSYD,2.33,0.07,0.03,0.05
Internet,MAAPVG,2.33,0.02,0.00,0.06
Internet,CNXHND,2.30,0.06,0.04,0.02
Internet,ICNJHB,2.30,0.09,0.04,0.06
Internet,DACHND,2.30,0.09,0.02,0.05
Internet,PENPER,2.30,0.08,0.04,0.05
Internet,BKIMRU,2.30,0.10,0.00,0.00
Internet,CMBPVG,2.29,0.06,0.00,0.02
Internet,CKGTWU,2.28,0.07,0.00,0.00
Internet,HNDSYD,2.28,0.07,0.02,0.03
Internet,DELSGN,2.28,0.06,0.03,0.06
Internet,CCUMRU,2.27,0.09,0.00,0.09
Internet,CTUSIN,2.26,0.04,0.01,0.03
Internet,PERSBW,2.26,0.09,0.06,0.03
Internet,REPSYD,2.25,0.07,0.04,0.05
Internet,DPSSYD,2.24,0.07,0.02,0.04
